mukey,aws025wta,aws050wta,aws0100wta,aws0150wta,hydgrpdcd
56381,3.93,7.05,12.72,18.77,C
56382,2.04,4.02,7.85,11.65,A
56383,3.97,5.98,8.34,10.56,C
56384,3.88,7.98,14.65,21.31,C
56385,2.03,4.25,8.28,11.73,A
56386,4.69,9.21,14.07,16.97,C
56387,4.74,9.0,16.38,23.67,D
56388,4.98,9.28,14.44,18.61,C
56389,3.41,6.87,13.37,19.51,B
56390,3.34,5.97,9.11,10.52,B
56391,1.39,2.89,5.6,8.25,
56392,4.99,9.08,13.78,17.66,C
56393,1.19,2.65,6.34,9.81,A
56394,2.59,5.42,10.97,16.52,A
56395,4.66,9.47,17.73,25.79,C
56396,1.58,2.67,4.61,6.35,A
56397,4.64,8.53,16.08,23.06,C
56398,2.51,5.24,10.68,16.0,A
56399,3.03,6.1,10.58,12.16,A
56400,3.76,5.08,6.01,6.94,D
56401,2.49,3.84,6.04,7.97,
56402,,,,,
56403,3.37,6.55,11.52,16.49,B
56404,3.01,5.03,8.28,11.53,D
56405,1.51,3.14,6.14,9.38,B
56406,1.56,3.33,5.66,8.09,B
56407,2.21,4.29,7.22,9.38,C
56408,1.89,3.95,6.38,8.6,C
56409,1.57,2.03,2.36,2.64,D
56410,2.76,5.69,9.31,12.35,D
56411,4.42,7.13,7.91,8.69,D
56412,3.44,5.21,7.2,7.56,D
56413,3.3,6.64,11.16,12.13,B
56414,3.96,8.11,15.32,17.22,C
56415,3.76,8.76,17.64,25.35,C
56416,3.76,7.73,13.03,13.03,D
56417,1.43,1.54,1.68,1.83,D
56418,1.0,2.0,4.0,6.0,
56419,3.99,7.04,13.14,19.19,B
56420,1.73,3.36,6.2,8.51,B
56421,4.17,8.94,17.18,23.6,C
56422,4.82,9.61,16.8,21.53,C
56423,0.98,2.08,2.67,2.98,D
56424,1.92,3.2,5.75,8.25,A
56425,4.1,7.85,15.14,22.32,B
56426,3.99,5.95,8.71,11.47,D
56427,4.19,8.22,15.83,23.28,B
56428,4.15,8.21,10.92,13.52,B
56429,4.27,8.48,14.82,19.59,B
56430,4.06,8.07,11.73,14.66,B
56431,4.14,6.09,9.49,11.94,A
56432,1.99,4.38,9.01,13.56,A
56433,4.22,7.74,14.5,21.2,C
56434,4.22,8.47,13.56,19.52,C
56435,3.83,7.36,14.12,20.82,C
56436,1.74,3.33,5.82,7.61,A
56437,1.06,1.9,2.81,3.32,
56438,1.24,2.57,4.98,7.29,A
56439,2.59,4.56,6.18,8.19,D
56440,4.85,9.67,17.45,26.9,C/D
56441,1.98,3.83,7.25,10.35,A
56442,4.26,8.89,17.7,25.82,C
56443,2.83,5.9,11.25,16.43,C
56444,4.18,8.31,16.59,24.86,B
56445,3.07,5.58,10.61,15.63,B
56446,4.61,6.56,10.97,15.22,
56447,3.53,6.53,11.42,15.88,D
56448,3.61,7.23,14.21,19.42,C
56449,2.41,4.19,5.28,6.24,
56450,2.3,4.45,8.77,11.44,B
56451,3.0,5.52,10.61,15.22,B
56452,2.86,4.46,6.6,8.63,D
56453,1.74,2.91,4.16,5.32,A
56454,2.44,3.93,5.19,5.64,C
56455,2.55,4.46,5.82,7.19,D
56456,2.65,5.27,10.28,14.6,A
56457,2.88,5.76,11.48,17.18,A
56458,4.39,7.36,12.4,14.74,D
56459,3.71,7.36,15.24,21.98,C
56460,2.21,3.98,6.47,8.44,A
56461,2.19,2.99,5.13,8.1,A
56462,2.49,4.32,7.68,10.78,A
56463,2.28,3.85,6.98,10.04,A
56464,2.86,4.62,7.88,9.65,B
56465,4.01,7.98,15.63,23.1,B
56466,4.19,8.33,14.48,19.1,B
56467,2.87,4.43,6.25,7.71,B
56468,3.8,6.03,10.3,14.48,A
56469,2.06,4.07,7.31,9.79,A
56470,4.15,8.12,15.32,22.44,C
56471,4.79,8.5,15.66,22.66,C
56472,2.55,5.14,8.85,10.6,A
56473,1.99,3.07,4.84,6.57,A
56474,1.59,2.74,5.11,7.36,A
56475,3.56,6.73,10.53,13.33,A
56476,3.06,5.72,11.72,18.54,A
56477,4.81,8.74,16.19,23.54,C
56478,2.15,5.12,11.07,17.03,A
56479,3.75,7.32,14.39,20.27,B
56480,4.6,8.41,15.85,23.08,C
56481,4.0,7.75,12.31,16.31,
56482,2.56,5.0,9.37,13.54,B
56483,2.2,3.31,3.76,4.15,D
56484,3.7,7.4,14.77,22.03,B
56485,3.3,5.8,11.01,16.22,C
56486,2.57,4.29,4.56,4.56,D
56487,1.11,2.21,4.42,6.62,A
56488,1.23,2.32,4.5,6.68,A
56489,3.42,6.87,13.77,20.67,C/D
56490,3.8,7.55,15.02,22.39,C/D
56491,2.78,5.39,10.5,15.62,
56492,4.75,8.94,17.24,24.74,C
56493,3.14,7.11,14.57,21.94,B
56494,3.61,7.55,15.25,22.87,B
56495,4.0,8.0,12.22,15.72,A
56496,1.5,3.48,8.48,13.08,A
56497,2.23,4.05,7.67,11.3,A
56498,2.25,3.99,6.99,9.99,A
56499,2.2,4.14,8.04,11.93,A
56500,3.68,6.37,10.21,13.81,B
56501,1.73,3.44,6.78,10.13,A
56502,2.41,5.16,10.64,16.13,A
56503,2.77,4.04,4.78,5.52,D
56504,3.15,3.25,3.25,3.25,D
56505,3.46,6.64,8.06,9.06,D
56506,1.68,3.36,6.71,10.07,A
56507,2.54,4.19,6.11,8.22,D
56508,2.97,6.45,13.31,19.92,B
56509,3.43,6.9,13.83,20.82,B
56510,2.28,4.52,9.73,15.0,C
56511,3.07,4.36,5.13,5.96,D
56512,3.6,7.62,15.7,23.82,B
56513,4.75,9.5,18.64,27.64,C
56514,3.63,6.97,13.44,19.9,C
56515,3.07,5.22,10.07,15.79,C
56516,2.51,2.69,2.69,2.69,
56517,2.08,3.75,4.91,6.08,
56518,3.01,5.15,6.2,7.26,
56519,2.6,3.27,3.27,3.27,D
56520,2.14,3.68,6.02,8.35,
56521,2.83,5.77,10.77,15.77,C
56522,3.53,7.45,15.14,22.69,B
56523,3.8,7.75,15.58,23.22,B
56524,3.69,7.64,15.59,23.53,B
56525,4.72,9.11,17.06,24.82,C
56526,3.44,3.55,3.55,3.55,D
56527,4.07,5.27,5.27,5.27,D
56528,2.57,5.37,10.96,16.55,B
56529,4.2,8.7,17.7,26.7,C
56530,4.06,8.49,17.34,26.19,C
56531,4.24,8.63,17.3,26.18,C
56532,2.28,3.08,4.15,5.12,D
56533,2.83,3.65,3.65,3.65,D
56534,2.95,3.47,4.15,4.73,D
56535,1.88,2.33,2.79,3.26,D
56536,2.84,4.07,4.07,4.07,D
56537,3.5,7.5,15.5,23.5,C
56538,4.05,7.79,15.13,22.42,C
56539,4.14,8.29,16.34,23.85,B
56540,3.93,7.91,15.84,23.28,B
56541,4.3,8.29,16.24,24.14,C
56542,2.18,4.4,7.1,7.97,D
56543,4.66,9.28,15.65,19.44,C
56544,2.64,4.3,6.47,8.47,D
56545,2.15,3.82,5.17,6.51,D
56546,2.07,4.09,8.13,12.17,A
56547,2.38,4.27,7.38,10.34,A
56548,2.08,3.56,6.23,9.21,D
56549,1.91,4.14,9.94,15.74,A
56550,2.97,5.26,11.38,17.48,A
56551,2.31,4.61,8.13,11.28,B
56552,4.07,8.32,16.54,24.87,C
56553,3.08,6.15,11.87,16.67,B
56554,3.51,6.74,12.47,18.19,A
56555,1.84,1.84,1.84,1.84,
56556,2.38,3.66,3.81,4.04,D
56557,3.67,7.47,14.99,22.56,C
56558,3.4,6.4,8.48,9.31,D
56559,4.19,7.62,13.19,17.7,C
56560,1.96,4.0,8.06,12.13,A
56561,2.99,5.71,10.52,15.26,C
56562,3.11,6.27,11.35,16.32,C
56563,,,,,B
56564,1.96,4.04,7.84,11.64,A
56565,3.19,6.5,13.18,19.7,B
56566,3.42,7.03,11.99,16.76,A
56567,4.7,8.13,13.67,19.23,C
56568,,,,,
56569,3.68,6.63,12.28,16.91,B
56570,2.8,5.94,12.17,18.36,B
56571,3.56,6.67,12.82,18.9,D
56572,3.09,6.2,12.36,18.43,D
56573,3.02,6.58,14.53,21.76,B
56574,3.0,6.35,14.25,22.13,B
56575,4.18,8.33,16.24,24.12,B
56576,0.25,0.5,1.0,1.5,
56577,1.84,2.93,3.76,4.6,
56578,1.96,2.9,3.15,3.4,
56579,3.5,5.48,8.05,10.1,B
56580,3.49,7.06,14.13,21.18,B
56581,3.5,6.89,13.49,20.08,B
56582,4.13,8.39,16.91,25.07,C
56583,1.88,3.63,7.07,10.45,A
56584,2.36,4.4,8.4,12.33,C
56585,4.01,6.56,10.06,12.83,B
56586,3.22,5.57,8.88,11.65,B
56587,3.92,7.86,15.61,23.34,C
56588,3.1,6.22,12.3,18.38,A
56589,1.15,2.15,4.15,6.15,
56590,4.07,8.28,16.7,25.1,C
56591,4.09,8.28,16.62,24.92,C
56592,4.11,8.29,16.59,24.86,C
56593,4.13,8.28,16.52,24.7,C
56594,3.32,6.28,11.27,16.16,C
56595,3.26,6.17,11.1,15.97,C
56596,3.37,4.62,5.34,6.04,D
56597,4.25,8.5,17.0,25.5,A/D
56598,2.97,5.62,8.89,12.17,A
56599,2.98,5.95,11.89,17.82,A
56600,2.98,5.95,11.89,17.82,A
56601,2.75,5.49,10.97,16.44,C
56602,3.85,6.93,13.11,19.28,B
56603,3.27,6.27,12.27,18.27,B
56604,2.92,5.84,11.66,17.45,A
56605,2.76,4.52,5.91,7.3,D
56606,4.68,9.64,13.64,15.96,B
56607,2.67,5.5,11.16,16.82,B
56608,2.95,5.53,9.52,13.39,B
56609,3.46,5.87,7.72,9.23,D
56610,3.66,6.39,7.24,8.09,D
56611,2.61,5.34,9.89,14.44,A
56612,4.08,8.19,16.26,24.32,B
56613,4.28,8.28,16.01,23.62,C
56614,4.32,7.81,14.31,20.81,C
56615,0.69,1.38,2.75,4.13,
56616,1.53,3.07,6.16,9.24,
56617,,,,,
56618,3.33,3.96,4.63,5.3,D
56619,1.83,3.67,7.33,11.0,A
56620,2.77,4.89,7.61,10.27,D
56621,3.2,5.08,8.83,12.58,B
56622,2.63,5.29,10.35,15.2,A
56623,2.22,4.42,8.42,12.12,A
56624,2.01,3.91,7.72,11.54,A
56625,2.3,4.53,8.93,13.31,A
56626,2.06,4.72,10.02,15.32,A
56627,2.11,4.77,10.07,15.37,A
56628,2.79,5.62,11.3,16.94,A
56629,2.75,5.53,11.12,16.65,A
56630,2.75,5.55,11.23,16.84,A
56631,3.4,7.13,13.86,19.57,B
56632,1.95,3.83,7.11,10.2,A
56633,1.93,3.81,7.56,10.79,A
56634,3.79,4.35,4.69,5.03,D
56635,3.96,7.25,10.7,14.1,D
56636,4.7,9.36,18.69,28.01,C
56637,4.7,9.36,18.69,28.01,C
56638,4.7,9.36,18.69,28.01,C
56639,4.1,8.2,16.4,24.6,C
56640,4.63,9.16,18.22,27.29,C
56641,4.25,8.5,17.0,25.5,
56642,3.81,7.77,14.48,19.85,C
56643,3.86,7.96,16.13,24.25,C
56644,3.89,7.99,16.12,24.17,C
56645,4.51,8.6,16.77,24.95,C
56646,4.99,9.75,18.7,27.61,C
56647,4.31,9.06,16.92,22.01,B
56648,2.25,4.49,5.51,5.56,B
56649,4.13,8.04,12.29,12.37,D
56650,4.13,8.04,12.29,12.37,D
56651,4.59,8.96,15.66,19.91,
56652,4.97,9.71,18.78,27.27,C
56653,4.96,9.18,17.59,26.41,C
56654,2.18,4.11,6.3,6.85,C
56655,2.74,5.13,7.9,10.37,A
56656,4.22,8.41,16.79,25.19,B
56657,4.19,8.35,16.68,25.03,B
56658,4.67,6.92,11.35,16.15,B
56659,3.99,6.24,10.72,15.62,B
56660,3.97,6.22,10.67,15.51,B
56661,1.78,2.37,2.41,2.41,D
56662,1.75,2.31,2.31,2.31,D
56663,2.57,3.75,3.82,3.9,D
56664,2.27,3.45,4.03,4.61,D
56665,4.49,8.97,17.91,26.81,B
56666,4.45,8.31,12.86,13.5,C
56667,4.42,8.58,8.96,9.16,D
56668,4.45,9.0,17.82,26.31,B
56669,4.46,8.72,13.99,17.14,C
56670,4.99,9.99,19.77,28.25,B
56671,1.75,2.31,2.31,2.31,
56672,1.78,3.31,4.62,4.62,C
56673,2.37,3.88,4.51,5.13,D
56674,2.5,4.45,7.2,9.23,B
56675,3.26,5.6,9.06,10.8,C
56676,2.28,4.53,7.34,7.42,C
56677,1.75,3.14,4.5,4.51,C
56678,4.99,9.71,18.65,27.84,C
56679,1.45,2.68,4.67,6.54,
56680,1.77,3.28,5.82,7.94,
56681,2.37,3.88,4.51,5.13,D
56682,1.88,3.75,5.31,6.24,
56784,3.04,6.53,12.34,17.97,B
56785,4.1,7.66,13.78,19.84,C
56786,3.97,7.93,13.96,17.93,B
56787,3.88,7.73,15.23,22.71,B
56788,3.38,6.93,13.54,20.14,C
56789,3.81,6.86,8.3,9.33,D
56790,3.19,6.22,12.23,20.08,C
56791,3.41,4.49,4.69,4.69,D
56792,3.48,6.14,8.72,9.67,D
56793,2.82,5.51,10.45,15.28,B
56794,2.78,4.53,8.0,11.34,B
56795,3.54,7.46,14.17,20.72,C
56796,2.28,4.59,9.49,14.55,C
56797,3.16,6.3,9.64,10.25,B
56798,2.99,4.94,5.54,5.54,C
56799,2.02,4.25,8.65,13.28,A
56800,2.04,3.55,5.62,10.26,B
56801,3.46,7.4,13.17,17.12,B
56802,3.43,6.63,13.03,19.56,C
56803,4.33,8.44,16.67,24.9,C
56804,3.77,7.47,14.87,22.68,D
56805,2.93,6.26,13.42,20.54,A
56806,3.17,5.77,9.6,12.99,C
56807,1.94,2.26,2.26,2.26,D
56808,2.76,5.48,9.02,9.02,D
56809,3.9,7.97,14.9,21.55,B
56810,3.16,6.49,12.49,18.46,B
56811,3.14,5.77,10.64,12.14,D
56812,3.27,4.73,6.85,8.97,
56813,3.69,7.54,10.6,12.01,D
56814,3.04,5.16,6.06,6.93,D
56815,2.31,4.61,9.21,13.85,D
56816,3.63,7.04,10.22,13.32,D
56817,1.38,2.91,5.12,7.22,A
56818,3.0,6.6,12.89,18.87,B
56819,2.89,6.15,10.99,15.49,A
56820,2.75,5.04,8.8,11.6,C
56821,3.86,7.74,15.13,22.43,C
56822,3.66,7.4,10.01,11.26,D
56823,2.54,2.71,2.71,2.71,D
56824,3.52,7.15,13.72,20.26,C
56825,4.57,8.54,15.75,22.6,C
56826,2.88,3.68,4.56,4.56,D
56827,3.26,6.42,11.75,17.01,A
56828,3.68,6.22,9.45,10.29,D
56829,3.27,6.33,10.62,14.8,D
56830,3.13,6.63,7.46,7.46,C
56831,3.38,6.03,6.77,7.42,D
56832,2.36,3.11,4.5,5.88,D
56833,2.73,5.07,8.46,9.46,D
56834,4.29,8.61,17.26,25.99,B
56835,3.29,4.93,5.59,6.07,D
56836,3.92,7.51,9.81,10.58,D
56837,3.55,7.24,14.37,21.76,B
56838,3.8,7.6,14.33,19.41,C
56839,2.33,4.41,7.63,10.28,C
56840,3.64,7.55,14.28,21.01,B
56841,3.28,6.92,13.61,20.36,C
56842,3.24,6.09,10.31,14.39,B
56843,3.16,5.69,7.26,7.26,D
56844,3.72,7.61,14.67,21.42,B
56845,4.35,8.18,15.83,23.56,C
56846,3.82,7.88,15.99,24.08,B
56847,3.67,7.0,10.21,12.93,C
56848,2.69,5.13,8.88,12.04,C
56849,2.83,5.93,8.93,11.55,C
56850,2.7,5.82,12.22,18.62,B
56851,2.86,5.61,7.74,9.69,B
56852,,,,,
56853,3.13,6.23,9.49,11.59,D
56854,4.5,9.21,18.54,27.79,B
56855,3.35,4.43,4.62,4.62,D
56856,3.31,4.25,4.84,5.2,D
56857,3.84,7.99,15.1,22.22,B
56858,3.96,8.04,14.88,21.4,B
56859,1.91,3.84,7.62,11.39,B
56860,4.14,8.14,15.95,23.48,B
56861,3.52,6.31,9.27,11.84,D
56862,3.6,7.47,11.22,14.71,D
56863,1.25,2.4,4.15,5.63,A
56864,4.19,7.8,14.69,21.54,D
56865,3.43,4.39,5.21,5.86,D
56866,4.22,8.35,16.56,24.75,D
56867,3.93,7.69,15.17,22.65,B
56868,3.63,7.46,14.56,21.35,C
56869,3.91,8.35,15.32,18.5,B
56870,4.07,8.09,11.54,11.91,C
56871,3.04,5.67,7.23,7.71,D
56872,3.77,7.52,14.34,20.88,B
56873,2.85,5.3,8.57,8.57,C
56874,2.92,5.32,6.66,6.66,C
56875,2.5,4.76,5.56,5.56,C
56876,2.54,4.36,6.09,6.31,C
56877,4.18,7.18,10.32,10.77,C
56878,3.72,7.29,13.97,14.84,C
56879,3.17,5.57,9.92,13.82,B
56880,3.04,5.81,11.37,17.09,C
56881,4.24,8.15,15.94,23.61,D
56882,2.65,5.06,5.99,6.51,C
56883,2.37,4.08,4.79,4.79,C
56884,2.79,3.58,4.3,4.92,D
56885,4.09,7.84,16.03,24.32,B
56886,4.24,8.55,16.88,23.22,C
56887,4.19,8.04,15.72,23.23,D
56888,2.84,4.15,4.19,4.19,D
56889,4.82,9.64,19.31,28.41,B
56890,3.4,7.19,14.64,22.1,D
56891,3.7,5.47,5.93,5.93,D
56892,4.67,9.08,17.47,22.82,B
56893,3.49,6.8,13.26,19.6,D
56894,3.57,6.79,13.15,19.46,D
56895,2.6,5.47,11.1,16.55,A
56896,2.45,4.9,9.67,14.33,A
56897,2.83,3.7,5.31,6.93,D
56898,3.24,4.04,5.32,6.59,D
56899,4.15,8.26,16.34,24.19,B
56900,3.83,8.12,17.64,26.19,B
56901,4.49,8.93,17.75,26.58,B
56902,4.07,5.74,6.19,6.4,D
56903,3.82,5.93,5.93,5.93,D
56904,4.9,9.2,16.9,24.52,D
56905,2.25,4.41,6.33,7.47,B
56906,3.46,7.6,14.95,20.94,B
56907,3.8,7.6,15.16,22.67,D
56908,2.43,3.63,4.18,4.18,D
56909,3.78,5.67,7.24,8.19,D
56910,3.45,5.65,7.58,8.03,D
56911,4.24,8.11,14.38,15.31,D
56912,3.9,7.55,9.5,10.3,C
56913,3.11,5.04,6.16,7.01,B
56914,3.4,6.54,8.43,8.43,C
56915,4.07,7.96,15.66,23.28,D
56916,4.33,8.73,17.24,25.35,C
56917,4.32,8.57,16.6,24.22,B
56918,4.11,8.27,16.1,22.96,C
56919,3.74,7.84,15.29,21.58,B
56920,3.41,6.86,13.53,20.16,B
56921,3.79,7.71,14.07,15.95,C
56922,4.16,8.54,16.27,20.47,B
56923,1.99,3.99,7.94,11.86,A
56924,3.65,7.8,15.68,22.46,B
56925,3.76,7.7,15.15,21.56,B
56926,3.47,7.33,13.8,20.03,B
56927,4.5,8.47,16.37,24.27,B
56928,3.49,6.75,13.9,21.5,D
56929,3.69,7.73,13.69,19.46,B
56930,3.94,8.06,16.12,24.09,B
56931,4.27,8.4,13.11,17.51,D
56932,3.63,6.59,10.8,14.08,C
56933,3.91,7.87,15.77,23.67,B
56934,3.36,6.29,6.95,6.95,D
56935,2.04,4.18,8.15,11.3,A
56936,4.8,9.66,19.31,28.85,B
56937,4.21,8.11,15.87,23.44,D
56938,3.81,6.88,10.79,11.18,D
56939,4.7,8.78,16.93,25.08,D
56940,4.86,8.79,16.64,24.52,D
56941,3.1,6.71,12.35,16.97,B
56942,3.61,7.53,13.0,17.87,B
56943,3.88,7.56,11.49,14.55,D
56944,3.07,4.15,5.0,5.75,B
56945,4.28,8.12,15.73,23.3,D
56946,1.65,3.29,6.57,9.84,D
56947,4.45,8.73,16.84,24.87,B
56948,3.54,6.93,10.65,11.1,C
56949,3.38,5.9,6.85,7.39,D
56950,4.33,8.29,11.43,12.35,C
56951,4.22,7.46,8.98,9.67,D
56952,4.14,8.39,16.13,23.86,B
56953,2.08,3.26,4.15,4.83,D
56954,2.72,5.28,11.2,18.24,A
56955,3.37,7.18,14.96,22.81,D
56956,3.95,7.43,14.41,21.38,D
56957,3.61,6.12,11.15,16.18,D
56958,4.26,7.77,14.81,21.84,D
56959,4.28,7.91,15.16,22.41,B
56960,,,,,
56991,4.01,7.73,15.09,22.32,D
56992,2.54,4.12,7.25,10.37,A
56993,2.63,6.33,13.72,20.63,B
56994,3.0,6.62,13.84,20.77,B
56995,3.0,6.62,13.84,20.77,B
56996,2.49,4.71,6.93,8.34,D
56997,4.27,8.58,16.88,23.79,D
56998,4.2,8.56,16.98,24.03,D
56999,4.1,8.21,16.89,24.9,D
57000,3.32,5.68,9.98,14.27,A
57001,3.32,5.68,9.98,14.27,A
57002,2.27,4.48,8.9,13.05,C
57003,2.38,4.65,8.96,13.31,C
57004,3.52,6.67,12.29,17.74,C
57005,4.54,8.42,16.26,24.34,C
57006,3.72,7.53,15.42,23.4,C
57007,3.14,6.28,12.74,19.25,C
57008,3.78,7.46,15.38,23.37,C
57009,4.04,7.96,11.75,12.66,D
57010,3.63,7.59,11.57,12.71,D
57011,4.07,8.03,12.01,13.15,D
57012,4.0,8.51,17.51,26.5,C
57013,3.84,7.14,13.61,20.06,C/D
57014,3.56,6.57,7.93,9.01,D
57015,3.0,5.76,5.76,5.76,D
57016,4.29,8.87,18.02,27.17,B
57017,4.74,9.48,18.94,28.39,C/D
57018,4.64,9.03,17.72,26.41,B
57019,4.97,9.58,18.65,27.59,C
57020,3.0,5.76,5.76,5.76,D
57021,2.45,4.69,9.17,13.64,B
57022,2.3,4.74,10.03,15.33,D
57023,2.13,4.45,9.54,14.64,D
57024,2.36,4.72,9.86,15.04,D
57025,4.1,7.32,13.3,19.26,B
57026,3.62,6.76,13.07,19.1,B
57027,4.1,7.45,13.43,19.39,B
57029,2.96,5.54,6.19,6.81,D
57030,2.8,5.12,7.28,9.47,D
57031,4.69,9.38,18.55,26.65,C
57032,4.72,9.36,18.7,22.94,C
57033,3.08,6.23,9.55,12.24,A
57034,4.27,8.84,17.77,25.69,C
57035,4.72,9.43,18.63,26.83,C
57036,3.04,6.02,11.87,17.18,C/D
57037,3.01,5.95,11.73,17.0,C
57038,4.91,9.79,19.58,23.96,C
57039,4.94,9.77,19.49,24.15,C
57040,2.84,5.44,10.44,15.18,C
57041,3.0,6.04,11.98,17.91,C
57042,2.73,5.16,9.86,14.53,C
57043,3.23,6.56,13.04,18.69,A
57044,3.19,6.29,12.18,17.45,C
57045,2.57,5.09,10.14,15.02,A
57047,2.9,5.42,5.42,5.42,D
57048,,,,,
57049,2.9,5.42,5.42,5.42,
57051,2.13,4.46,9.14,13.51,A
57052,4.34,8.18,16.56,24.78,C
57053,3.22,5.81,10.98,15.86,B
57054,4.34,8.18,16.56,24.78,C
57055,4.44,8.26,16.67,24.94,C
57056,3.92,7.77,16.2,24.38,C
57057,2.33,3.75,5.93,8.13,D
57058,3.31,6.64,11.97,16.22,C
57059,3.23,6.46,11.59,15.94,C
57060,3.91,7.66,15.2,22.75,C
57061,2.3,2.71,7.82,13.13,D
57062,4.05,7.9,15.62,23.34,C
57063,2.3,2.73,7.83,13.14,D
57064,4.26,8.65,17.5,26.35,C
57065,3.86,7.64,15.18,22.7,D
57066,3.59,7.09,14.08,21.07,D
57067,4.01,8.43,17.3,26.17,C
57068,4.75,9.15,18.0,26.84,C
57069,3.86,7.64,15.18,22.7,D
57070,3.59,7.11,14.14,21.15,D
57071,3.51,7.4,12.21,14.94,B
57072,3.27,6.69,13.12,18.28,A
57073,1.87,3.47,6.68,9.65,A
57074,1.73,3.41,10.75,18.77,C
57075,1.25,2.5,5.0,7.5,A
57076,2.08,4.15,8.33,12.5,D
57077,3.21,6.28,12.39,18.54,D
57078,3.73,7.34,11.38,14.68,D
57079,2.63,5.7,9.9,12.65,B
57080,1.31,2.6,5.11,7.58,A
57081,2.17,4.57,9.19,13.4,B
57082,2.72,6.5,13.93,21.23,C
57083,1.59,3.18,5.5,7.57,A
57084,2.84,5.85,11.42,14.62,B
57085,2.77,6.17,13.02,19.77,B
57086,3.58,7.15,12.19,15.29,D
57087,2.09,4.21,8.3,12.37,D
57088,3.71,7.4,12.48,15.53,D
57089,3.38,6.75,13.98,21.1,C
57090,3.39,6.8,14.09,21.29,C
57091,3.75,7.35,12.22,15.02,C
57092,3.64,7.25,14.28,21.3,C
57093,1.63,3.25,6.5,9.71,A
57094,2.61,4.29,6.9,9.45,A
57095,4.85,9.31,15.58,19.48,C
57096,3.69,7.29,14.32,21.34,C
57097,3.54,7.02,10.81,14.04,C
57098,2.42,4.02,4.02,4.02,D
57099,2.47,3.71,4.37,5.03,D
57100,2.58,4.02,4.02,4.02,D
57101,3.25,7.0,10.6,10.6,D
57102,3.64,7.5,15.07,22.65,B
57103,3.88,6.3,10.43,14.54,D
57104,3.69,7.23,13.94,20.5,D
57105,2.51,4.22,7.42,9.81,A
57106,4.86,9.53,18.78,28.03,C
57107,4.4,8.65,17.15,25.65,D
57108,3.37,6.38,11.77,16.65,B
57109,2.69,5.26,9.99,14.62,B
57110,3.49,4.09,5.13,6.16,D
57111,3.12,5.33,9.34,13.29,A
57112,2.62,5.3,9.66,14.01,B
57113,3.48,7.43,15.29,23.15,B
57114,2.08,3.86,7.07,10.27,A
57115,1.85,3.75,7.55,11.24,A
57116,2.4,4.65,9.15,13.65,D
57117,2.58,5.46,10.94,15.62,A
57118,3.97,7.84,14.63,21.39,B
57119,3.39,6.29,6.49,6.7,D
57120,3.31,6.03,10.96,15.89,B
57121,2.93,5.15,6.63,6.63,D
57122,2.1,4.31,9.8,15.42,B
57123,3.91,8.06,16.18,23.11,B
57124,2.14,3.78,8.02,10.4,C/D
57125,2.0,2.88,2.88,2.88,D
57126,3.68,6.82,10.71,14.59,D
57127,1.43,2.87,5.73,8.6,
57128,2.61,4.38,7.07,9.62,A
57129,3.31,6.24,11.94,17.64,B
57130,3.63,6.19,9.14,12.09,D
57131,2.08,5.06,11.09,16.12,B
57132,2.73,5.53,10.77,16.31,C
57133,2.23,4.53,8.75,12.97,B
57134,3.7,7.58,14.61,21.66,B
57135,3.89,7.64,14.36,20.11,B
57136,3.7,7.76,15.78,23.24,B
57137,3.87,7.87,9.59,9.59,C
57138,2.86,5.96,9.93,12.47,B
57139,2.94,5.07,5.77,6.47,D
57140,2.75,3.63,3.63,3.63,D
57141,1.58,3.1,6.13,9.15,A
57142,2.65,4.03,6.03,8.03,D
57143,3.22,6.01,11.54,17.06,C
57144,3.17,6.67,13.67,20.67,A
57145,3.67,7.88,16.31,24.74,B
57146,1.91,3.88,7.86,11.86,D
57147,4.55,9.26,18.56,27.85,C
57148,2.33,4.63,10.61,16.95,D
57149,3.11,6.21,12.0,17.68,B
57150,2.5,5.0,10.0,14.36,A
57151,0.98,1.84,3.55,5.27,A
57152,3.17,6.97,14.57,22.17,B
57153,3.11,6.92,14.38,21.6,B
57154,1.98,3.52,5.05,6.58,D
57155,2.63,5.41,10.68,15.94,A
57156,2.33,4.9,8.72,10.37,B
57157,1.69,3.06,5.25,6.85,A
57158,4.01,8.15,16.41,24.65,B
57159,1.45,2.39,3.94,5.02,C
57160,0.76,1.17,1.8,2.2,C
57161,1.87,3.7,7.35,11.0,D
57162,1.62,2.96,5.46,7.96,C
57163,1.82,3.58,5.02,6.29,C
57164,4.38,9.02,17.17,25.11,C
57165,3.73,7.51,15.18,23.14,B
57166,1.66,2.97,5.41,7.84,B
57167,2.31,3.29,4.72,6.16,D
57168,3.0,5.23,7.35,9.63,D
57169,1.17,2.34,4.67,7.0,
57170,2.06,4.28,8.51,11.88,B
57171,1.66,3.46,7.07,10.67,A
57172,3.04,6.49,7.53,7.74,C
57173,1.72,1.93,1.93,1.93,D
57174,3.14,6.28,8.2,9.02,C
57175,3.78,7.81,15.91,23.44,B
57176,3.14,6.45,9.98,12.16,C
57177,2.62,6.0,12.59,19.09,B
57178,3.19,6.52,13.55,20.38,A
57179,4.54,9.04,18.02,27.01,B
57180,2.2,4.43,10.43,17.2,B
57181,1.98,3.3,6.75,9.93,D
57182,3.85,8.06,16.29,24.61,B
57183,3.76,7.8,15.61,23.25,B
